teacher_id;class_id;subject;academic_year;semester
G-02;7A;BAHASA SUNDA;2025/2026;1
G-02;7B;BAHASA SUNDA;2025/2026;1
G-02;7C;BAHASA SUNDA;2025/2026;1
G-02;7D;BAHASA SUNDA;2025/2026;1
G-02;7E;BAHASA SUNDA;2025/2026;1
G-02;7F;BAHASA SUNDA;2025/2026;1
G-02;8A;BAHASA SUNDA;2025/2026;1
G-02;8B;BAHASA SUNDA;2025/2026;1
G-02;8C;BAHASA SUNDA;2025/2026;1
G-02;8D;BAHASA SUNDA;2025/2026;1
G-02;8E;BAHASA SUNDA;2025/2026;1
G-02;8F;BAHASA SUNDA;2025/2026;1
G-02;9A;BAHASA SUNDA;2025/2026;1
G-02;9B;BAHASA SUNDA;2025/2026;1
G-02;9C;BAHASA SUNDA;2025/2026;1
G-02;9D;BAHASA SUNDA;2025/2026;1
G-02;9E;BAHASA SUNDA;2025/2026;1
G-02;9F;BAHASA SUNDA;2025/2026;1
G-03;7A;PJOK;2025/2026;1
G-03;7B;PJOK;2025/2026;1
G-03;7C;PJOK;2025/2026;1
G-03;7D;PJOK;2025/2026;1
G-03;9A;PJOK;2025/2026;1
G-03;9B;PJOK;2025/2026;1
G-03;9C;PJOK;2025/2026;1
G-03;9D;PJOK;2025/2026;1
G-03;9E;PJOK;2025/2026;1
G-03;9F;PJOK;2025/2026;1
G-04;7A;ILMU PENGETAHUAN SOSIAL;2025/2026;1
G-04;7B;ILMU PENGETAHUAN SOSIAL;2025/2026;1
G-04;7C;ILMU PENGETAHUAN SOSIAL;2025/2026;1
G-04;7D;ILMU PENGETAHUAN SOSIAL;2025/2026;1
G-04;7E;ILMU PENGETAHUAN SOSIAL;2025/2026;1
G-04;7F;ILMU PENGETAHUAN SOSIAL;2025/2026;1
G-04;8A;ILMU PENGETAHUAN SOSIAL;2025/2026;1
G-04;8B;ILMU PENGETAHUAN SOSIAL;2025/2026;1
G-04;8C;ILMU PENGETAHUAN SOSIAL;2025/2026;1
G-05;8A;MATEMATIKA;2025/2026;1
G-05;8B;MATEMATIKA;2025/2026;1
G-05;8C;MATEMATIKA;2025/2026;1
G-05;8D;MATEMATIKA;2025/2026;1
G-05;8E;MATEMATIKA;2025/2026;1
G-05;8F;MATEMATIKA;2025/2026;1
G-06;7A;PENDIDIKAN PANCASILA;2025/2026;1
G-06;7B;PENDIDIKAN PANCASILA;2025/2026;1
G-06;7C;PENDIDIKAN PANCASILA;2025/2026;1
G-06;7D;PENDIDIKAN PANCASILA;2025/2026;1
G-06;7E;PENDIDIKAN PANCASILA;2025/2026;1
G-06;7F;PENDIDIKAN PANCASILA;2025/2026;1
G-06;8A;PENDIDIKAN PANCASILA;2025/2026;1
G-06;8B;PENDIDIKAN PANCASILA;2025/2026;1
G-06;8C;PENDIDIKAN PANCASILA;2025/2026;1
G-07;7A;PENDIDIKAN AGAMA ISLAM;2025/2026;1
G-07;7B;PENDIDIKAN AGAMA ISLAM;2025/2026;1
G-07;7C;PENDIDIKAN AGAMA ISLAM;2025/2026;1
G-07;8A;PENDIDIKAN AGAMA ISLAM;2025/2026;1
G-07;8B;PENDIDIKAN AGAMA ISLAM;2025/2026;1
G-07;8C;PENDIDIKAN AGAMA ISLAM;2025/2026;1
G-07;8D;PENDIDIKAN AGAMA ISLAM;2025/2026;1
G-07;8E;PENDIDIKAN AGAMA ISLAM;2025/2026;1
G-07;8F;PENDIDIKAN AGAMA ISLAM;2025/2026;1
G-08;8D;PENDIDIKAN PANCASILA;2025/2026;1
G-08;8E;PENDIDIKAN PANCASILA;2025/2026;1
G-08;8F;PENDIDIKAN PANCASILA;2025/2026;1
G-08;9A;PENDIDIKAN PANCASILA;2025/2026;1
G-08;9B;PENDIDIKAN PANCASILA;2025/2026;1
