id,student_id,teacher_id,date,subject,status,created_at,notes,class_id,type
01769813-9516-4a8b-81f3-ee867b5ec33f,8afb7f35-14de-4f79-9f38-c80d5c1c4d36,bf881eef-91c7-4ac3-b99d-cd62d2e9df4a,2025-09-17,BAHASA INGGRIS,Alpha,2025-09-18 13:37:44.834939+00,,9B,mapel
0227ae19-3375-4a62-83bd-4e16a25a484f,5dc2afd6-52aa-4f56-97b7-537d089b6fe6,bf881eef-91c7-4ac3-b99d-cd62d2e9df4a,2025-09-17,BAHASA INGGRIS,Hadir,2025-09-18 13:37:44.834939+00,,9B,mapel
028ff998-269a-4ccf-8a2c-5226f6aa86f1,3e269456-0f56-4a39-834f-7d5fb01cdf66,bf881eef-91c7-4ac3-b99d-cd62d2e9df4a,2025-09-19,BAHASA INGGRIS,Hadir,2025-09-19 03:21:42.717513+00,,9A,mapel
03363a4d-e102-4e65-ba93-e614a50c848a,ae663ab1-225c-4117-b92a-71f94a0f6f06,bf881eef-91c7-4ac3-b99d-cd62d2e9df4a,2025-09-17,BAHASA INGGRIS,Hadir,2025-09-18 13:35:55.859722+00,,9A,mapel
0350d9f5-8499-4929-8216-852a6de7da84,ab3caa78-58cd-4764-a5f7-c1579c716ee9,bf881eef-91c7-4ac3-b99d-cd62d2e9df4a,2025-09-19,Harian,Hadir,2025-09-19 03:22:50.224159+00,,9E,harian
0467f44c-18a2-4f52-a93a-4712341216a1,ab3caa78-58cd-4764-a5f7-c1579c716ee9,bf881eef-91c7-4ac3-b99d-cd62d2e9df4a,2025-09-17,Harian,Hadir,2025-09-18 13:34:31.838398+00,,9E,harian
04c6bc4a-8beb-4975-a912-c99fc6af72d8,8da16193-a245-4944-82d3-76d626df5e79,bf881eef-91c7-4ac3-b99d-cd62d2e9df4a,2025-09-17,BAHASA INGGRIS,Hadir,2025-09-18 13:35:55.75692+00,,9A,mapel
04f25c1e-5aaf-4f21-a0bd-53b7cfea6b96,cb888e80-3bc7-4838-99a2-5dca5fc240fe,bf881eef-91c7-4ac3-b99d-cd62d2e9df4a,2025-09-17,Harian,Hadir,2025-09-18 13:34:32.249701+00,,9E,harian
0559d2c4-b565-4b3f-871a-ec4be884a513,7f28bb3a-f5cc-46df-9dba-ca6881c2e31e,bf881eef-91c7-4ac3-b99d-cd62d2e9df4a,2025-09-19,BAHASA INGGRIS,Sakit,2025-09-19 03:21:42.610012+00,,9A,mapel
0693841e-56ac-4aaa-b157-3bc0bb428b6e,86444cc1-0fe1-46ba-90cd-fa8452988d03,bf881eef-91c7-4ac3-b99d-cd62d2e9df4a,2025-09-17,BAHASA INGGRIS,Hadir,2025-09-18 13:37:45.050221+00,,9B,mapel
