id;teacher_id;class_id;subject;academic_year;semester;created_at
010d4875-cd60-4ced-a54b-52fcbc4b343d;G-28;9B;ILMU PENGETAHUAN SOSIAL;2025/2026;1;2025-09-20 05:45:42.601363+00
034aea1e-41e3-438e-8cfa-5aff7d56ffe3;G-20;7D;SENI RUPA;2025/2026;1;2025-09-20 05:45:42.601363+00
03b15424-0a7d-462b-bc8d-33f1ceb507c4;G-21;9E;INFORMATIKA;2025/2026;1;2025-09-20 05:45:42.601363+00
051ad724-b131-4b98-86e7-122389004104;G-16;8A;ILMU PENGETAHUAN ALAM;2025/2026;1;2025-09-20 05:45:42.601363+00
05954963-e04e-4a20-9dc7-11126e370515;G-06;7D;PENDIDIKAN PANCASILA;2025/2026;1;2025-09-20 05:45:42.601363+00
0679104c-01c1-42a8-8a17-4b98e396fd9d;G-09;9F;ILMU PENGETAHUAN ALAM;2025/2026;1;2025-09-20 05:45:42.601363+00
06b87f67-2dc6-4360-b6b7-f517af96850b;G-20;9B;SENI RUPA;2025/2026;1;2025-09-20 05:45:42.601363+00
09432fc5-3ad4-4489-96bf-c6a555039f7e;G-29;8E;INFORMATIKA;2025/2026;1;2025-09-20 05:45:42.601363+00
09da5f41-053e-42fd-9ab9-15bd9bd522d7;G-29;7B;INFORMATIKA;2025/2026;1;2025-09-20 05:45:42.601363+00
0a0faf07-fb9b-4149-8034-13fdd6af8b55;G-05;8F;MATEMATIKA;2025/2026;1;2025-09-20 05:45:42.601363+00
0b40459b-5e61-4773-ad47-6b03334cbf05;G-12;7E;BAHASA INGGRIS;2025/2026;1;2025-09-20 05:45:42.601363+00
0c2ac385-9e41-461c-9c77-23311d0a978a;G-13;7C;BAHASA INGGRIS;2025/2026;1;2025-09-20 05:45:42.601363+00
0d366fb2-8c22-4f25-956f-4a6c360457b5;G-04;7F;ILMU PENGETAHUAN SOSIAL;2025/2026;1;2025-09-20 05:45:42.601363+00
0dfe7c30-4e2c-4a92-a314-f056e2d027ab;G-29;8C;KODING & AI;2025/2026;1;2025-09-20 05:45:42.601363+00
0ee8322f-4c6f-473c-8a92-f63dde85590a;G-28;8E;ILMU PENGETAHUAN SOSIAL;2025/2026;1;2025-09-20 05:45:42.601363+00
0f3e8cfd-e1ee-4467-a053-61831a37f154;G-09;9D;ILMU PENGETAHUAN ALAM;2025/2026;1;2025-09-20 05:45:42.601363+00
103bdac2-ab68-47f3-a7d4-ee98e85ca3d9;G-11;9C;PENDIDIKAN AGAMA ISLAM;2025/2026;1;2025-09-20 05:45:42.601363+00
1046acd9-c563-4193-b17e-b4f3f430e452;G-21;8E;PJOK;2025/2026;1;2025-09-20 05:45:42.601363+00
11fb970b-b18b-49d8-9767-7ce3bdbd2ce6;G-26;9A;INFORMATIKA;2025/2026;1;2025-09-20 05:45:42.601363+00
1472f8fd-1913-4683-889b-725d79e8b0c9;G-17;9D;BAHASA INDONESIA;2025/2026;1;2025-09-20 05:45:42.601363+00
16f58029-2ddb-4d97-b384-8f44b6d62f4b;G-11;7D;PENDIDIKAN AGAMA ISLAM;2025/2026;1;2025-09-20 05:45:42.601363+00
1713d984-8c1b-47ab-8a96-e034ccbe5e1a;G-18;8B;PRAKARYA;2025/2026;1;2025-09-20 05:45:42.601363+00
198fb955-63f1-412b-9d9f-f12e50791ae0;G-02;7F;BAHASA SUNDA;2025/2026;1;2025-09-20 05:45:42.601363+00
1ebd07f7-5680-498a-a63a-91b223695764;G-02;9A;BAHASA SUNDA;2025/2026;1;2025-09-20 05:45:42.601363+00
1f8e00dd-aadb-4037-8da3-bb0b9fe225e8;G-06;8A;PENDIDIKAN PANCASILA;2025/2026;1;2025-09-20 05:45:42.601363+00
21d950b3-0ebc-4070-acd5-67bdef7e79b2;G-20;9F;SENI RUPA;2025/2026;1;2025-09-20 05:45:42.601363+00
2263cff2-3d15-41ae-84bc-5c53ece14c0a;G-16;8B;ILMU PENGETAHUAN ALAM;2025/2026;1;2025-09-20 05:45:42.601363+00
226a572d-404f-4ad8-afb5-38c129503281;G-28;8D;ILMU PENGETAHUAN SOSIAL;2025/2026;1;2025-09-20 05:45:42.601363+00
